's Gage,'s Gage,
 's Graveduin,'s Graveduin,
's Graveland,'s Graveland,
's Gravelduin Capelle,'s Gravelduin Capelle,
's Gravendeel,'s Gravendeel,
's Gravenland,'s Gravenland,
's Gravenpolder,'s Gravenpolder,
's Gravenzande,'s Gravenzande,
"""s Gravenzande",'s Gravenzande,
's Gravezande,'s Gravezande,
's Grevelduin Capelle,'s Grevelduin Capelle,
's Heer Arendskerke,'s Heer Arendskerke,Q2638564
's Heerarendskerke,'s Heerarendskerke,
's Heerenberg,'s Heerenberg,Q425810
's-Graveland,'s-Graveland,Q1615351
's-Gravenland,'s-Gravenland,
's-Gravenpolder,'s-Gravenpolder,Q2307619
's-Hertogenbosch,'s-Hertogenbosch,Q2766547
's. Bosch,'s. Bosch,
'st. Paulien,'st. Paulien,
't Hof van Delft,'t Hof van Delft,
't Meer,'t Meer,
't Meer bij Heerenveen,'t Meer bij Heerenveen,
't Zandt,'t Zandt,Q2253750
(Vessem) Wintelré en Knegsel,(Vessem) Wintelré en Knegsel,
á Rumiellies ,á Rumiellies ,
aaeen,aaeen,
Aalburg,Aalburg,Q9808
Aalsmeer,Aalsmeer,Q9897
Aalst,Aalst,Q478761
Aalst (Belgie),Aalst (Belgie),
Aalten,Aalten,Q275909
Aalzum,Aalzum,
Aar,Aar,Q1675
Aardenburg,Aardenburg,Q955
Aardswoud,Aardswoud,
Aardswouw,Aardswouw,
Aarlanderveen,Aarlanderveen,Q2235855
Aarle-Rixtel,Aarle-Rixtel,Q2003434
Aasfelt,Aasfelt,
Abbega,Abbega,Q2296446
Abbenbroek,Abbenbroek,Q2654350
Abcoude,Abcoude,Q307103
Abcoude - Baambrugge,Abcoude - Baambrugge,
Abcoude Baambrugge,Abcoude Baambrugge,
Abcoude gemeente Vinkeveen,Abcoude gemeente Vinkeveen,
Abcoude Proosdij,Abcoude Proosdij,
Abcoude Proostdij,Abcoude Proostdij,
Abcoude-Baambrugge,Abcoude-Baambrugge,Q535988
Abcoude-Proosdij,Abcoude-Proosdij,Q2202402
Abcoude-Proostdij,Abcoude-Proostdij,Q2202402
Aberzem (B),Aberzem (B),
Achterveld,Achterveld,Q1975538
Achterveld bij Barneveld,Achterveld bij Barneveld,
18 hoven,Achtienhoven,
Achtkarspelen,Achtkarspelen,Q341024
Achttienhoven,Achttienhoven,Q1214739
Achttienhoven Hellaart,Achttienhoven Hellaart,
Achtttienhoven,Achtttienhoven,
Adorp,Adorp,Q366423
Aelst,Aelst,Q84563938
Aengewieren,Aengewieren,
Afferden,Afferden,Q944043
Afferden gem. Bergen,Afferden gem. Bergen,
Afferden gem. Druten,Afferden gem. Druten,
Afferden Gemeente Bergen Chemburg,Afferden Gemeente Bergen Chemburg,
afgeplakt,afgeplakt,
Aken,Aken,Q362390
Aken (D),Aken (D),
Akkerum,Akkerum,
Akkerwoude,Akkerwoude,Q1882277
Akkrum,Akkrum,Q2250527
Akkum,Akkum,Q26273567
Albcrude Proosdij,Albcrude Proosdij,
Alblasserdam,Alblasserdam,Q736131
Alem,Alem,Q2279097
Alfen (ZH),Alfen (ZH),
Alkemade,Alkemade,Q166134
Alkmaar,Alkmaar,Q972
Alkmaara,Alkmaara,
Alle,Alle,Q343184
Allen,Allen,Q219314
Almelo,Almelo,Q988
Almenum,Almenum,Q2197324
Alost (BElgië),Alost (België),
Alost (België),Alost (België),
Alphen,Alphen,Q416766
Alphen (Z.H.),Alphen (Z.H.),
Alphen a/d Maas Gemeente Appelterm,Alphen a/d Maas Gemeente Appelterm,
Alphen a/d Maas Gemeente Appeltern,Alphen a/d Maas Gemeente Appeltern,
Alphen aan de Maas gemeente Appeltem,Alphen aan de Maas gemeente Appeltem,
Alfen a/d Rijn,Alphen aan den Rijn,Q213246
Alphen a/d Rijn,Alphen aan den Rijn,Q213246
Alphen a/d Rijn ,Alphen aan den Rijn,Q213246
Alphen a/r,Alphen aan den Rijn,Q213246
Alphen a/Rijn,Alphen aan den Rijn,Q213246
Alphen aan de Rijn,Alphen aan den Rijn,Q213246
Alphen aan den Rijn,Alphen aan den Rijn,Q213246
Alphen en Riel,Alphen en Riel,Q2786655
Alphen Z.H.,Alphen Z.H.,
Alten,Alten,Q294520
Alten - Essen,Alten - Essen,
Alten Bochum,Alten Bochum,
Alteveer,Alteveer,Q1219236
Amasterdam,Amasterdam,
Ambl Doetinchem,Ambl Doetinchem,
Ambt Almelo,Ambt Almelo,Q1871633
A. Delden,Ambt Delden,
Ambt Doetichem,Ambt Doetichem,
Ambt Doetinchem,Ambt Doetinchem,Q2324595
Ambt Hardenberg,Ambt Hardenberg,Q2187899
ambt Hardenberg,Ambt Hardenberg,Q2187899
Ambt Ommen,Ambt Ommen,Q1814477
Ambt Vollenhove,Ambt Vollenhove,Q2043275
Ambt- Almelo,Ambt- Almelo,
Ambt-Delden,Ambt-Delden,
Ambt-Hardenberg,Ambt-Hardenberg,
Ambt-Harderberg,Ambt-Hardenberg,
Ambt. Doetinchem,Ambt. Doetinchem,
Ambt. Hardenberg,Ambt. Hardenberg,
Ambt. Vollenhove,Ambt. Vollenhove,
Ameide,Ameide,Q2842582
Ameide (Z.H.),Ameide (Z.H.),
Ameiden,Ameiden,
Ameijde,Ameijde,
Amerongen,Amerongen,Q1615400
Amerongen ,Amerongen ,Q1615400
Amersf.,Amersfoort,Q992
A.foort,Amersfoort,Q992
A' foort,Amersfoort,Q992
A'foort,Amersfoort,Q992
Amerfoort,Amersfoort,Q992
Amersfooort,Amersfoort,Q992
Amersfoort,Amersfoort,Q992
amersfoort,Amersfoort,Q992
Àmersfoort,Amersfoort,Q992
Amersfoort ,Amersfoort,Q992
Amersfoortd,Amersfoort,Q992
Amersfsoort,Amersfoort,Q992
Amwersfoort,Amersfoort,Q992
Anersfoort,Amersfoort,Q992
Amme,Amme,Q472889
Ammerzoden,Ammerzoden,Q2073542
Amstelveen,Amstelveen,Q9898
Amstelveen gem Nieuwer-Amstel,Amstelveen gem Nieuwer-Amstel,
Amstenrade,Amstenrade,Q2844505
Amsrterdam,Amsterdam,Q727
Amst.,Amsterdam,Q727
amst.d,Amsterdam,Q727
Amst.d,Amsterdam,Q727
Amst.d.,Amsterdam,Q727
Amstᵈ,Amsterdam,Q727
Amsteram,Amsterdam,Q727
amsteram,Amsterdam,Q727
Amsterd,Amsterdam,Q727
"A,sterdam",Amsterdam,Q727
A; dan,Amsterdam,Q727
A;'dam,Amsterdam,Q727
A..dam,Amsterdam,Q727
A.dam,Amsterdam,Q727
A'dam,Amsterdam,Q727
A'dan,Amsterdam,Q727
A’dam,Amsterdam,Q727
A/dam,Amsterdam,Q727
Adam,Amsterdam,Q727
Adam.,Amsterdam,Q727
Amsterdam,Amsterdam,Q727
"Amsterdam,",Amsterdam,Q727
Amsterdan,Amsterdam,Q727
Amsterdm,Amsterdam,Q727
Amsterrdam,Amsterdam,Q727
Amterdam,Amsterdam,Q727
Àmsterdam,Àmsterdam,
Amsterdam ,Amsterdam ,Q727
Amsterdam (gemeente Nieuwer Amstel),Amsterdam (gemeente Nieuwer Amstel),
Amsterdam (gemeente Nieuwer-Amstel),Amsterdam (gemeente Nieuwer-Amstel),
Amsterdam Scheveld,Amsterdam Scheveld,
Amsterdamschevled,Amsterdamschevled,
Amuiden,Amuiden,
Andel,Andel,Q414903
Andel  ,Andel  ,Q414903
Andel gem. Baflo,Andel gem. Baflo,
Anderlegt,Anderlegt,
Andijk,Andijk,Q491999
Angelo (G),Angelo (G),
Angerlo,Angerlo,Q1055698
Angerlo (G),Angerlo (G),
Angerlo (Gld),Angerlo (Gld),
Angermün@@,Angermün@@,
Angermünde (D.),Angermünde (D.),
Anjum,Anjum,Q551562
Ankeveen,Ankeveen,Q2334850
Anlo,Anlo,Q56371
Anloo,Anloo,Q2850371
Anna Paulona,Anna Paulona,
Anna Paulowna,Anna Paulowna,Q562876
Antwerpen,Antwerpen,Q12892
Àntwerpen,Antwerpen,Q12892
Apeldoor,Apeldoorn,Q101918
Apeldoorn,Apeldoorn,Q101918
Apeltern,Apeltern,
Appelscha,Appelscha,Q620806
Appingadam,Appingedam,Q995
Appingedam,Appingedam,Q995
Appingendam,Appingedam,Q995
Arbhem,Arbhem,
Arlon België,Arlon België,
Arhem,Arnhem,Q1310
Armhem,Arnhem,Q1310
Arnhhem,Arnhem,Q1310
Arnhjem,Arnhem,Q1310
Anrhem,Arnhem,Q1310
Arnhem,Arnhem,Q1310
ARnhem,ARnhem,Q1310
arnhem,arnhem,Q1310
Arum,Arum,Q161121
Asch,Asch,Q444875
Asijvelle,Asijvelle,
Asperem,Asperen,Q2162332
Asperen,Asperen,Q2162332
Assche (België),Assche (België),
Assen,Assen,Q798
Assendelft,Assendelft,Q1614461
Asten,Asten,Q406263
Augsburg,Augsburg,Q2749
Augustinusga,Augustinusga,Q2017681
Austerlitz gem. Zeist,Austerlitz gem. Zeist,
Autphen,Autphen,
Avenhorn,Avenhorn,Q2338786
Avennes,Avennes,Q681153
Avereest,Avereest,Q1907318
Awans Bierset,Awans Bierset,
Axel,Axel,Q295950
Baarle Nassau,Baarle Nassau,Q9811
Baarm,Baarn,Q10027
 Baarn,Baarn,Q10027
Baarn,Baarn,Q10027
Bacel (België),Bacel (België),
Baelem  op Nethe,Baelen op Nethe,
Baelen op Nethe,Baelen op Nethe,
Balk,Balk,Q1069344
Balzwart,Balzwart,
Bantgum,Bantgum,
Baren (Baarn),Baren (Baarn),
Barendrecht,Barendrecht,Q204239
Barevoetswaarder,Barevoetswaarder,
Barn,Barn,Q1303167
Barnevel,Barnevel,
Barneveld.,Barneveld,Q195822
Barnveld,Barneveld,Q195822
Barneveld,Barneveld,Q195822
Barneveld (Esveld),Barneveld (Esveld),
Barneveld Harzelaar,Barneveld Harzelaar,
Barneveld Kallenbeek,Barneveld Kallenbeek,
Barneveld Voorthuizen,Barneveld Voorthuizen,
Barnoutswaarder,Barnoutswaarder,
Barnth D.,Barnth D.,
Baroup,Baroup,
Barsingerhorn,Barsingerhorn,Q2272764
Barrewoudswaarder,Barwoutswaarder,Q2676407
Barrewoutswaarden,Barwoutswaarder,Q2676407
Barrewoutswaarder,Barwoutswaarder,Q2676407
Barrewoutwaarder,Barwoutswaarder,Q2676407
Barwoudswaarder,Barwoutswaarder,Q2676407
Barwoutswaarder,Barwoutswaarder,Q2676407
Barwoutswaareer,Barwoutswaarder,Q2676407
Barwoutswarder,Barwoutswaarder,Q2676407
Basel,Basel,Q78
Bassogne,Bassogne,
Batenburg,Batenburg,Q2891187
Batier Belgie,Batier Belgie,
Batier België,Batier België,
Baties bij Luik,Baties bij Luik,
Beckhausen,Beckhausen,
Bedam,Bedam,Q5831152
Bedum,Bedum,Q461142
Beeck (Belgie),Beeck (Belgie),
Beek,Beek,Q3972033
Beek (Limburg),Beek (Limburg),Q3972033
Beek en Donk,Beek en Donk,Q2893667
Beele,Beele,Q56238
Beemster,Beemster,Q9900
Beens,Beens,Q104844331
Beers,Beers,Q353739
Beerta,Beerta,Q2250772
Beesd,Beesd,Q2219434
Beest,Beest,Q4880132
Beetgum,Beetgum,Q2340734
Beets,Beets,Q165437
Beets gem. Opsterland,Beets gem. Opsterland,
Beets gem. Opsterland.,Beets gem. Opsterland,
Beetsterzwaag,Beetsterzwaag,Q2675898
Beilen,Beilen,Q2034045
Bekveld Geld. ,Bekveld Geld. ,
Belgaren Duitschl.,Belgaren Duitschl.,
Belgern (Saksen),Belgern (Saksen),
Belingwolde,Belingwolde,
Bellingwolde,Bellingwolde,Q2181173
Bemelen,Bemelen,Q100001
Bemmel,Bemmel,Q784364
Benders@@ gem. Ruinen,Bendersden gem. Ruinen,
Bendersden gem. Ruinen,Bendersden gem. Ruinen,
Beneden Knijpe,Beneden Knijpe,
Beneden-Knijpe,Beneden-Knijpe,
Benedenknijpe,Benedenknijpe,
Benedenknijpe Gem. Schoterland,Benedenknijpe Gem. Schoterland,
Bennebroek,Bennebroek,Q817840
Bennekom gem. Ede,Bennekom gem. Ede,
Bennikhausen,Bennikhausen,
Benoichem,Benoichem,
Benschop,Benschop,Q818159
Bentheim,Bentheim,Q818253
Benthuizen,Benthuizen,Q818270
Berchem,Berchem,Q818804
Berg en  Terblijt,Berg en Terblijt,Q2273131
Berg en Terblijt,Berg en Terblijt,Q2273131
Berg Ambacht,Bergaambacht,
Berg-Ambacht,Bergaambacht,
Bergaambacht,Bergaambacht,
Bergambacht,Bergambacht,Q653025
Bergamo,Bergamo,Q628
Bergem,Bergem,Q819508
Bergen,Bergen,Q26793
Bergen ,Bergen ,Q26793
Bergen (L.),Bergen (Limburg),Q9804
Bergen (Limb),Bergen (Limburg),Q9804
Bergen (NH),Bergen (Noord Holland),
Bergen N.H.,Bergen (Noord Holland),
Bergen op - Zoom,Bergen op Zoom,Q192508
Bergen op Zoom,Bergen op Zoom,Q192508
Bergen op zoom,Bergen op Zoom,Q192508
Bergen op Zoom ,Bergen op Zoom,Q192508
Bergen-op-Zoom,Bergen op Zoom,Q192508
Bergh,Bergh,Q819700
Berghem,Berghem,Q2042013
Berghem (B.),Berghem (België),
Berghem (B),Berghem (België),
Berghem België,Berghem (België),
Bergs,Bergs,Q37238507
Bergschenhoek,Bergschenhoek,Q820175
Bergum,Bergum,Q1016068
Bergum (gem) Tietjerksteradeel,Bergum gem. Tietjerksteradeel,
Bergum gem. Tietjerksteradeel,Bergum gem. Tietjerksteradeel,
Bergwoudewaarder,Bergwoudewaarder,
Berkel,Berkel,Q707763
Berkel (n.b.),Berkel (n.b.),
Berkel en Roderijs,Berkel en Roderijs,
Berkhout,Berkhout,Q2272260
Berkmeer,Berkmeer,Q2304211
Berlaar bij Lier,Berlaar bij Lier,
Berlicum,Berlicum,Q2897233
Berlijn,Berlijn,Q4528108
Berlikum,Berlikum,Q1107931
Bermington Engeland,Bermington Engeland,
Berrewoudwaarden,Berrewoudwaarden,
Berrewoudwaarder,Berrewoudwaarder,
Beschoten,Beschoten,
Besoeki (N.O.I.),Besoeki (N.O.I.),
Besoeko (N.O.I.),Besoeko (N.O.I.),
Besoijen,Besoijen,Q2630144
Besooijen,Besooijen,
Bessoijen,Bessoijen,
Best,Best,Q246064
Betekom,Betekom,Q432610
Betgum,Betgum,
Beugen,Beugen,
Beugen en Rijkvoort,Beugen en Rijkvoort,
Beuningen,Beuningen,Q851244
Beusichem,Beusichem,Q1879468
Beuzichem,Beuzichem,
Beveren Wals,Beveren Wals,
Beverwijk,Beverwijk,Q9905
Bezoijen,Bezoijen,
Bezooijen,Bezooijen,
Bielefeld,Bielefeld,Q2112
Bierum,Bierum,Q2649983
Biervliet,Biervliet,Q2412352
Bilt,Bilt,
Bilt (FR),Bilt (FR),
Binschop,Binschop,
Binschoten,Binschoten,
Birmingham,Birmingham,Q2256
Birmingham (E),Birmingham (E),
Bishoshem (België),Bishoshem (België),
Blaricum,Blaricum,Q9906
Bleiswijk,Bleiswijk,Q883690
Blesdijke,Blesdijke,Q2500645
Bloemendaal,Bloemendaal,Q9908
Blokzijl,Blokzijl,Q59605
Blozijl,Blozijl,
Bocholt,Bocholt,Q1159144
Bocholt (B),Bocholt (B),
Bocholt Dld.,Bocholt Dld.,
"Bocholt, Duitsland","Bocholt, Duitsland",
Bocholtz,Bocholtz,Q2217726
Bocholz,Bocholz,
Bocholz (D),Bocholz (D),
Bochum,Bochum,Q2103
Bochum in Guitschland,Bochum in Guitschland,
Bockoltz,Bockoltz,
Bockum in Duitschland,Bockum in Duitschland,
Bodegraven,Bodegraven,Q832938
Bodegrven,Bodegrven,
Boekel,Boekel,Q9818
Böhsen,Böhsen,
Bolsward,Bolsward,Q3291153
Bolzwart,Bolzwart,
Bommel,Bommel,
Bonn,Bonn,Q586
Boodewalt gem. Bedum,Boodewalt gem. Bedum,
Boom (België),Boom (België),
Boornbergum,Boornbergum,Q2209207
Borbeck,Borbeck,
Borbeck (D),Borbeck (D),
Borculo,Borculo,Q1025685
Borcum,Borcum,
Borger,Borger,Q448794
Borger-Compascuum,Borger-Compascuum,
Borgerat,Borgerat,
Borgerhout,Borgerhout,Q834850
Borgerveld  gem. Vlagtwedde,Borgerveld  gem. Vlagtwedde,
Borgerwold gem Vlagtwedde,Borgerwold gem Vlagtwedde,
Borghorst (Duitschland),Borghorst (Duitschland),
Borkulo,Borkulo,
Borkuloo,Borkuloo,
Born,Born,Q893907
Borsele,Borsele,Q10071
Borssele,Borssele,Q2911365
Borsselen,Borsselen,Q104849017
Bos Kappelle (Z),Bos Kappelle (Z),
Boscholtz,Boscholtz,
Bosem,Bosem,
Boskoop,Boskoop,Q894442
Bottrop,Bottrop,Q3069
Bottrop (Duitschl),Bottrop (Duitsland),
Bottrop (Duitschland),Bottrop (Duitsland),
Bottrop D.,Bottrop (Duitsland),
"Bottrop, Duitschland",Bottrop (Duitsland),
Bovenkarspel,Bovenkarspel,Q674395
Boxmeer,Boxmeer,Q9819
Boxtel,Boxtel,Q9821
Boxtel ???,Boxtel ???,
Boxum,Boxum,
Bozum gem Baarderadeel,Bozum gem Baarderadeel,
Brada,Brada,Q4954388
Brakel,Brakel,Q845980
Brandenburg (Duitschland),Brandenburg (Duitschland),
Brandgem,Brandgem,
Brandgem (Fr.),Brandgem (Fr.),
Brandgem (Fr),Brandgem (Fr),
Brandgum,Brandgum,
Brantgem,Brantgem,
Brantgum,Brantgum,Q898897
Brantgum gem. Westdongeradeel,Brantgum gem. Westdongeradeel,
Brasmenil,Brasmenil,
Brasschaet,Brasschaet,
Brasschaet (België),Brasschaet (België),
Brecht,Brecht,Q38757
Brecht (België),Brecht (België),
Breda,Breda,Q40844
Breda (Utrecht),Breda (Utrecht),
Bremen,Bremen,Q24879
Breskens,Breskens,Q641390
Breukelen,Breukelen,Q615732
Breukelen - Nijenrode,Breukelen - Nijenrode,
Breukelen en Nijenrode,Breukelen en Nijenrode,
Breukelen Nijenrode,Breukelen Nijenrode,Q2318860
Breukelen Nijenroode,Breukelen Nijenroode,
Breukelen Nijerode,Breukelen Nijerode,
Breukelen st Pieter,Breukelen st Pieter,
Breukelen St. Pieter,Breukelen St. Pieter,
Breukelen st. Pieter,Breukelen st. Pieter,
Breukelen-Nijenrode,Breukelen-Nijenrode,Q2318860
"Breukelen, Nijenrode","Breukelen, Nijenrode",
Breukelenveen,Breukelenveen,
Breulelen Nijenrode,Breulelen Nijenrode,
Brielle,Brielle,Q462663
Briellle,Briellle,
Broek Gron,Broek Gron,
Broek in Waterland,Broek in Waterland,Q2925962
Broek onder Akerwoude gem. Dantumadeel,Broek onder Akerwoude gem. Dantumadeel,
Broek op Langendijk,Broek op Langendijk,Q2464635
Broek-Sittard,Broek-Sittard,
Broekhave,Broekhave,
Broekhuizen,Broekhuizen,Q1217811
Broeksittard,Broeksittard,Q2925966
Brohl,Brohl,Q564683
Brouwershaven,Brouwershaven,Q991009
Brudzin,Brudzin,
Bruegel (B),Bruegel (B),
Bruekelen Nijenrode,Bruekelen Nijenrode,
Bruekelen-Nijenrode,Bruekelen-Nijenrode,
Brugge,Brugge,Q12994
Brummen,Brummen,Q843895
Brunssum,Brunssum,Q9803
Brunswijk,Brunswijk,
Brussel,Brussel,Q240
Brussel (B),Brussel (B),
Budel,Budel,Q1001369
Budel N.B.,Budel N.B.,
Büdersheim,Büdersheim,
Bugenook,Bugenook,
Buiksloot,Buiksloot,Q1002976
Bunchoten,Bunchoten,
Bunde,Bunde,Q416010
Bunnik,Bunnik,Q10032
Bunnink,Bunnink,
Bunschoten,Bunschoten,Q10034
Bunschoten ,Bunschoten ,Q10034
Bunschoten gem. Spakenburg,Bunschoten gem. Spakenburg,
Buren,Buren,Q73061
Buren-Malsem,Buren-Malsem,
Burgh,Burgh,Q254978
Burgh.,Burgh.,
Burght,Burght,Q6933376
Burgt bij Antwerpen,Burgt bij Antwerpen,
Burmelo,Burmelo,
Burmingham,Burmingham,Q865761
Burum,Burum,Q1017157
Bussum,Bussum,Q9909
Busum,Busum,Q20768
Buurmalsen,Buurmalsen,Q1908172
Buurmalsum,Buurmalsum,
Buursmalen,Buursmalen,
Cadier en Keer,Cadier en Keer,Q100000
Cadzand,Cadzand,Q1025352
Calcken,Calcken,
Campenout,Campenout,
Capelle,Capelle,Q2459889
Capelle a/d IJsel,Capelle a/d IJsel,
Capelle a/d IJssel,Capelle a/d IJssel,Q734860
Capelle aan de IJssel,Capelle a/d IJssel,Q734860
Capelle op'd IJssel,Capelle a/d IJssel,Q734860
Cappel,Cappel,Q417133
Cappele a/d IJssel,Capelle a/d IJssel,Q734860
Cappelle a/d IJssel,Capelle a/d IJssel,Q734860
Carspel,Carspel,
Cassel,Cassel,Q354577
Casteren gem. Hoogeloon,Casteren gem. Hoogeloon,
Casterop,Casterop,
Castricum,Castricum,Q9910
Castrop,Castrop,Q151243
Cele Akant,Cele Akant,
Cerfontaine,Cerfontaine,Q354499
Céverle (Belgie),Céverle (Belgie),
Chapelles les Horlaimont,Chapelles les Horlaimont,
Charlois,Charlois,Q2289835
Charlois gem R'dam,Charlois gem R'dam,
Charlois gem. Rotterdam,Charlois gem. Rotterdam,
Chénée,Chénée,
Chercq,Chercq,
Cherscamp,Cherscamp,
Cinuij,Cinuij,
Cleve (D),Cleve (D),
Cleve. Duitschl.,Cleve. Duitschl.,
Clinge,Clinge,Q1915621
Co@le@,Co@le@,
Coevorden,Coevorden,Q60453
Colijnsplaat,Colijnsplaat,Q538319
Contich,Contich,
Cornelimunster,Cornelimunster,Q152432
Cortemarck,Cortemarck,Q822763
Cothen,Cothen,Q2860067
Cotlan,Cotlan,
Cranenburg,Cranenburg,Q16952497
Crefeld,Crefeld,Q2805
Crefeld (Duitschl.),Crefeld (Duitschl.),
Crefeld Duitschl.,Crefeld Duitschl.,
Cromvoirt,Cromvoirt,Q2981622
Crujshautem,Crujshautem,
Cruybeke (België),Cruybeke (België),
Cuijk,Cuijk,Q9827
Cuijk en st Agatha,Cuijk en st Agatha,
Cuijk en St Agathe,Cuijk en St Agathe,
Cuijk en St. Agatha,Cuijk en St. Agatha,
Cuijk en St. Agatta,Cuijk en St. Agatta,
Cuilemburg,Cuilemburg,
Cuilenburg,Cuilenburg,
Culemborg,Culemborg,Q816699
Culemburg,Culemburg,
Culenborg,Culenborg,
Culenburg,Culenburg,
Daal.,Daal.,
Dalen,Dalen,Q1974246
Dalfsen,Dalfsen,Q9998
Danne Liessel,Danne Liessel,
Dantumadeel,Dantumadeel,Q389213
Dantzig,Dantzig,Q21491246
Darmstadt,Darmstadt,Q2973
Darthuizen gem Leersum,Darthuizen gem Leersum,
de Bildt,de Bildt,
de Bilt,de Bilt,Q10035
De Bilt,De Bilt,Q10035
de Ham,de Ham,Q402786
de Hoven,de Hoven,
De Hoven bij Zutphen,De Hoven bij Zutphen,
de Kromme Mijdrecht,de Kromme Mijdrecht,
de Leek,de Leek,
de Lemmer,de Lemmer,Q144091
de Rijp,de Rijp,Q2208222
De Werken en Sleeuwijk,De Werken en Sleeuwijk,Q781820
de Wijk,de Wijk,Q2187499
De Wijk,De Wijk,Q2187499
Dedemsvaart,Dedemsvaart,Q2485874
Dedemsvaart (Avereest),Dedemsvaart (Avereest),
Dedemsvaart AVereest,Dedemsvaart AVereest,
Dedemsvaart Avereest,Dedemsvaart Avereest,
Dedgum,Dedgum,Q2499859
Deemsvaart Avereest,Deemsvaart Avereest,
